titulo,href,valoracion,duracion,dificultad,categorias,ingredientes,categoria_principal
Receta de Arroz Rissi,/receta-1130/arroz-rissi,4,Entre 15 y 30 min.,Media,"['tradicionales', 'mediterráneas']","['Arroz', 'Cebolla', 'Champiñón', 'Vino blanco', 'Vino tinto', 'Margarina', 'Caldo de ave']",tradicionales
Receta de Arroz a la Milanesa,/receta-1467/arroz-a-la-milanesa,4,Entre 15 y 30 min.,Sencilla,"['tradicionales', 'mediterráneas']","['Arroz', 'Pimiento verde', 'Cebolla', 'Ajo', 'Queso rallado', 'Guisante verde', 'Vino blanco', 'Jamón serrano']",tradicionales
"Receta de Arroz meloso de conejo, boletus, foie y láminas de trufa",/receta-1258/arroz-meloso-de-conejo-boletus-foie-y-laminas-de-trufa,4,Entre 30 y 60 min.,Media,"['exóticas', 'para fiestas', 'mediterráneas']","['Aceite de oliva', 'Conejo', 'Conejo', 'Tirabeque', 'Ajo tierno', 'Judía verde', 'Pimiento rojo', 'Arroz', 'Boletus', 'Foie de pato', 'Trufa']",exóticas
Receta de Arroz caldoso con Fogonero,/receta-1088/arroz-caldoso-con-fogonero,4,Entre 30 y 60 min.,Sencilla,"['veraniegas', 'invernales', 'para fiestas', 'mediterráneas']","['Ajo', 'Cebolla', 'Pimiento rojo', 'Pimiento verde', 'Zanahoria', 'Tomate', 'Clavo', 'Arroz', 'Vino tinto', 'Almeja', 'Gamba', '\ufeffAbadejo', 'Agua']",veraniegas
Receta de ARROZ VERANIEGO CON SORPRESA,/receta-516/arroz-veraniego-con-sorpresa,4,Entre 15 y 30 min.,Sencilla,"['veraniegas', 'mediterráneas']","['Arroz', 'Huevo', 'Maíz dulce', 'Guisante verde', 'Pimiento', 'Atún en aceite en lata', 'Aceituna', 'Salsa de tomate frito', 'Mayonesa']",veraniegas
Receta de Arroz con champiñones y salteado de pimiento rojo,/receta-486/arroz-con-champinones-y-salteado-de-pimiento-rojo,4,Entre 15 y 30 min.,Sencilla,"['veraniegas', 'tradicionales', 'para niños', 'mediterráneas']","['Carne de vacuno picada', 'Arroz', 'Cebolla', 'Pimiento rojo', 'Champiñón', 'Ajo', 'Limón', 'Pimienta', 'Azafrán', 'Aceite de oliva', 'Sal']",veraniegas
Receta de Paella de casa,/receta-346/paella-de-casa,4,Entre 30 y 60 min.,Sencilla,"['tradicionales', 'mediterráneas']","['Conejo', 'Pollo', 'Costilla de cerdo', 'Judía plana', 'Judía plana', 'Pimiento rojo', 'Tomate', 'Ajo', 'Arroz', 'Arroz', 'Aceite de oliva', 'Sal', 'Pimentón dulce', 'Azafrán', 'Romero']",tradicionales
Receta de Arroz al curry rápido,/receta-658/arroz-al-curry-rapido,4,Entre 15 y 30 min.,Sencilla,"['exóticas', 'veraniegas', 'asiáticas', 'para tupper']","['Pechuga de pollo', 'Arroz', 'Cebolla', 'Curry', 'Nata para cocinar', 'Champiñón', 'Pimienta']",exóticas
Receta de RISOTTO CON HONGOS (trevijano),/receta-740/risotto-con-hongos-trevijano,4,Entre 15 y 30 min.,Sencilla,"['tradicionales', 'mediterráneas', 'para otros robots']","['Arroz', 'Aceite', 'Vino blanco', 'Caldo de ave', 'Guindilla', 'Mantequilla', 'Queso Parmesano']",tradicionales
Receta de Arroz Negro,/receta-561/arroz-negro,4,Entre 15 y 30 min.,Media,"['minimalistas', 'mediterráneas']","['Arroz', 'Sepia', 'Gamba', 'Calamar', 'Caldo de pescado']",minimalistas
Receta de ARROZ AMARILLO ESPECIADO,/receta-426/arroz-amarillo-especiado,3,Entre 30 y 60 min.,Sencilla,"['exóticas', 'invernales', 'mediterráneas']","['Aceite de oliva', 'Cebolla', 'Ajo', 'Laurel', 'Pimiento rojo', 'Pimiento verde', 'Puerro', 'Calabacín', 'Zanahoria', 'Chorizo', 'Pollo', 'Cubito de caldo', 'Arroz', 'Agua', 'Patata', 'Colorante alimenticio', 'Curry', 'Sal', 'Vino blanco', 'Champiñón']",exóticas
Receta de Arroz con huevos escalfados,/receta-440/arroz-con-huevos-escalfados,3,Menos de 15 min.,Sencilla,['tradicionales'],"['Aceite', 'Arroz', 'Huevo', 'Agua', 'Sal', 'Cebolla']",tradicionales
Receta de ARROZ CON GARBANZOS,/receta-1434/arroz-con-garbanzos,3,Entre 15 y 30 min.,Sencilla,[],"['Caldo de carne', 'Tocino', 'Azafrán', 'Cebolleta', 'Tomate', 'Ajo']",
Receta de arroz caldoso de bacalao y con queso,/receta-1319/arroz-caldoso-de-bacalao-y-con-queso,3,Entre 15 y 30 min.,Media,[],"['Bacalao desalado', 'Arroz redondo', 'Ajo', 'Aceite de oliva', 'Salsa de tomate frito', 'Judía verde', 'Pimiento verde', 'Caldo de pescado']",
Receta de Arroz frío con verduras,/receta-1476/arroz-frio-con-verduras,3,Entre 15 y 30 min.,Sencilla,[],"['Pepino', 'Tomate', 'Pimiento verde', 'Cebolla', 'Arroz', 'Sal', 'Aceite de oliva']",
Receta de RISOTTO DE SETAS ,/receta-1116/risotto-de-setas,3,Entre 30 y 60 min.,Sencilla,[],"['Arroz', 'Seta', 'Vino blanco', 'Cebolla', 'Ajo', 'Caldo de verdura', 'Tomillo', 'Perejil', 'Queso Parmesano', 'Aceite', 'Mantequilla', 'Sal']",
Receta de Arroz a la cubana,/receta-1315/arroz-a-la-cubana,2,Entre 15 y 30 min.,Sencilla,"['light', 'veraniegas', 'invernales', 'para niños', 'mediterráneas', 'americanas']","['Huevo', 'Arroz', 'Salsa de tomate triturado', 'Aceite de oliva', 'Ajo', 'Mantequilla', 'Sal']",light
Receta de ARROZ CON LECHE,/receta-1139/arroz-con-leche,2,Entre 30 y 60 min.,Sencilla,[],"['Leche', 'Canela en rama', 'Azúcar blanco', 'Canela en polvo', 'Limón', 'Arroz']",
Receta de Arroz con sardina,/receta-694/arroz-con-sardina,2,Entre 15 y 30 min.,Sencilla,[],"['Sardina', 'Arroz', 'Pimiento', 'Nata para cocinar', 'Guindilla', 'Pepino']",
Receta de guiso,/receta-2376/guiso,1,Entre 15 y 30 min.,Sencilla,[],['Arroz'],
Receta de Arroz con verduras,/receta-2194/arroz-con-verduras,1,Menos de 15 min.,Sencilla,[],['Arroz'],
Receta de Paella valenciana,/receta-1675/paella-valenciana,1,Entre 15 y 30 min.,Sencilla,[],"['Arroz', 'Pollo']",
Receta de Risotto de hongos,/receta-1217/risotto-de-hongos,1,Entre 15 y 30 min.,Media,"['vegetarianas', 'mediterráneas']","['Arroz', 'Cebolla', 'Seta']",vegetarianas
"Receta de Arroz con cerdo, pollo y garrafones.",/receta-1974/arroz-con-cerdo-pollo-y-garrafones,0,Entre 30 y 60 min.,Sencilla,"['veraniegas', 'invernales', 'tradicionales', 'mediterráneas']","['Ajo', 'Pimiento', 'Pimiento rojo', 'Cerdo', 'Pollo', 'Tomate', 'Arroz', 'Agua', 'Sal', 'Azafrán']",veraniegas
Receta de Arroz con conejo / Paella de carne,/receta-1983/arroz-con-conejo-paella-de-carne,0,Entre 15 y 30 min.,Sencilla,"['tradicionales', 'para fiestas', 'mediterráneas']","['Conejo', 'Caldo de carne', 'Pimiento rojo', 'Pimiento verde', 'Cebolla', 'Ajo', 'Salsa de tomate frito', 'Pimentón dulce', 'Azafrán', 'Sal', 'Laurel', 'Vino blanco']",tradicionales
Receta de Arroz con tomate y huevo frito,/receta-2098/arroz-con-tomate-y-huevo-frito,0,Entre 15 y 30 min.,Sencilla,"['vegetarianas', 'para tupper']","['Arroz', 'Salsa de tomate frito', 'Ajo', 'Sal', 'Aceite', 'Huevo']",vegetarianas
Receta de aa,/receta-1975/aa,0,Entre 30 y 60 min.,Media,[],['Sal'],
Receta de Risotto de champiñones,/receta-2097/risotto-de-champinones,0,Entre 15 y 30 min.,Sencilla,[],"['Arroz', 'Mantequilla', 'Cebolla', 'Vino blanco', 'Nata', 'Caldo de ave', 'Queso rallado', 'Champiñón']",
Receta de Arroz jardinera,/receta-2102/arroz-jardinera,0,Entre 15 y 30 min.,Sencilla,"['vegetarianas', 'para tupper']","['Arroz', 'Pimiento verde', 'Tomate', 'Huevo', 'Pimienta molida', 'Sal']",vegetarianas
Receta de Arroz con alcachofas,/receta-2129/arroz-con-alcachofas,0,Entre 30 y 60 min.,Sencilla,[],"['Alcachofa', 'Limón', 'Cebolla', 'Ajo', 'Arroz', 'Perejil', 'Sal']",
Receta de Arroz con huevo,/receta-2183/arroz-con-huevo,0,Entre 15 y 30 min.,Sencilla,[],"['Huevo', 'Arroz', 'Aceite de oliva']",
Receta de sushi,/receta-2326/sushi,0,Menos de 15 min.,Sencilla,[],['Arroz'],
Receta de Patatas,/receta-2364/patatas,0,Entre 15 y 30 min.,Media,[],['Patata'],
Receta de paella marisco,/receta-1878/paella-marisco,0,Entre 15 y 30 min.,Sencilla,[],"['Arroz', 'Cebolla', 'Caldo de ave', 'Ajo', 'Pimiento']",
Receta de Arroz a la Cubana,/receta-1780/arroz-a-la-cubana,0,Entre 15 y 30 min.,Media,"['para fiestas', 'para niños']","['Ajo', 'Agua', 'Sal', 'Arroz', 'Salsa de tomate frito', 'Huevo', 'Plátano']",para fiestas
Receta de Arroz con tomate y bonito,/receta-1268/arroz-con-tomate-y-bonito,0,Entre 15 y 30 min.,Sencilla,"['tradicionales', 'para niños', 'mediterráneas']","['Arroz', 'Salsa de tomate triturado', 'Aceite de oliva', 'Huevo', 'Aceite', 'Sal', 'Azúcar blanco']",tradicionales
Receta de Arroz con atún de lata,/receta-1334/arroz-con-atun-de-lata,0,Entre 15 y 30 min.,Sencilla,[],"['Ajo', 'Laurel', 'Tomate', 'Pimiento verde', 'Cebolla', 'Arroz', 'Guisante verde', 'Aceite', 'Sal', 'Bonito', 'Pimienta']",
Receta de Sandwich de lomo adobado,/receta-889/sandwich-de-lomo-adobado,5,Menos de 15 min.,Sencilla,"['light', 'veraniegas', 'minimalistas', 'tradicionales', 'para fiestas', 'mediterráneas']","['Lomo de cerdo', 'Cebolla', 'Tomate', 'Lechuga', 'Huevo', 'Pan de molde', 'Mayonesa']",light
Receta de Hamburguesa con bacon y queso,/receta-858/hamburguesa-con-bacon-y-queso,5,Menos de 15 min.,Sencilla,"['para niños', 'americanas']","['Hamburguesa', 'Hamburguesa', 'Cebolla', 'Salsa de tomate triturado', 'Bacón', 'Queso en loncha']",tradicionales
Receta de tarta facil de  queso  philadelphia,/receta-796/tarta-facil-de-queso-philadelphia,5,Entre 15 y 30 min.,Sencilla,[],"['Galleta ""Digestive""', 'Mantequilla', 'Queso para untar', 'Leche condensada', 'Zumo de limón']",light
Receta de Chapas de Hojaldre con sorpresa,/receta-916/chapas-de-hojaldre-con-sorpresa,5,Entre 30 y 60 min.,Media,"['para niños', 'mediterráneas']","['Masa de hojaldre', 'Jamón cocido', 'Queso tierno', 'Lomo de cerdo', 'Huevo']",veraniegas
Receta de Hamburguesa al estilo americano,/receta-917/hamburguesa-al-estilo-americano,5,Menos de 15 min.,Sencilla,"['para niños', 'americanas']","['Hamburguesa', 'Tomate', 'Cebolla', 'Lechuga', 'Hamburguesa', 'Ketchup', 'Salsa de Mostaza', 'Patata', 'Queso Cheddar', 'Bacón']",vegetarianas
Receta de Biquini,/receta-1502/biquini,5,Menos de 15 min.,Sencilla,[],"['Jamón cocido', 'Queso en loncha', 'Mantequilla', 'Pan de molde']",light
Receta de Pepito de salchichas,/receta-920/pepito-de-salchichas,5,Menos de 15 min.,Sencilla,['para niños'],"['Barra de pan', 'Salchica fresca', 'Tomate', 'Queso en loncha', 'Lechuga', 'Aceite de oliva']",
Receta de sandwich de crema de huevo,/receta-971/sandwich-de-crema-de-huevo,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'exóticas', 'veraniegas', 'minimalistas', 'afrodisíacas', 'para niños', 'norte de Europa', 'mediterráneas', 'para tupper']","['Mayonesa', 'Salsa de Mostaza', 'Vinagre', 'Pan de molde', 'Lechuga', 'Tomate', 'Huevo', 'Mantequilla']",light
Receta de Bocadillo de jamón y queso,/receta-974/bocadillo-de-jamon-y-queso,5,Menos de 15 min.,Sencilla,"['para niños', 'mediterráneas', 'para tupper']","['Queso semicurado', 'Jamón cocido', 'Tomate', 'Aceite de oliva', 'Pan de baguette', 'Sal']",light
Receta de chapata serrana,/receta-895/chapata-serrana,5,Menos de 15 min.,Sencilla,"['minimalistas', 'para niños', 'mediterráneas', 'para tupper']","['Pan de chapata', 'Jamón serrano', 'Tomate', 'Aceite de oliva', 'Queso Gouda']",light
Receta de la hamburguesa perfecta,/receta-309/la-hamburguesa-perfecta,5,Entre 30 y 60 min.,Media,"['tradicionales', 'para fiestas', 'para niños', 'americanas']","['Panecillo', 'Carne picada', 'Jamón serrano', 'Cebolla', 'Ajo', 'Huevo', 'Sal', 'Nuez moscada', 'Pan rallado', 'Aceite de oliva', 'Queso Camembert', 'Lechuga', 'Tomate', 'Queso Gouda']",exóticas
Receta de Sandwich de Pavo y Queso Cremoso,/receta-473/sandwich-de-pavo-y-queso-cremoso,5,Menos de 15 min.,Sencilla,"['minimalistas', 'para fiestas', 'para niños', 'para carnaval']","['Pan integral', 'Mantequilla con sal', 'Queso para untar', 'Pavo', 'Pechuga de pavo', 'Lechuga', 'Tomate', 'Pimienta molida', 'Patata']",light
Receta de pepito de lomo,/receta-34/pepito-de-lomo,5,Menos de 15 min.,Sencilla,"['mediterráneas', 'para tupper']","['Canónigo', 'Tomate', 'Queso Gouda', 'Lomo de cerdo', 'Aceite de oliva', 'Lechuga', 'Sal', 'Pan']",mediterráneas
Receta de montadito de sardinas,/receta-239/montadito-de-sardinas,4,Menos de 15 min.,Sencilla,"['minimalistas', 'tradicionales', 'para tupper']","['Panecillo', 'Sardina en conserva', 'Espinaca', 'Queso Emmental']",vegetarianas
Receta de Bocadillo ataúd,/receta-1526/bocadillo-ataud,4,Menos de 15 min.,Sencilla,"['veraniegas', 'para halloween', 'para fiestas']","['Pan de molde', 'Lechuga', 'Mayonesa', 'Atún en aceite en lata', 'Huevo']",tradicionales
Receta de Kebab light de pollo y salsa de mostaza,/receta-1369/kebab-light-de-pollo-y-salsa-de-mostaza,4,Entre 15 y 30 min.,Sencilla,"['light', 'para fiestas', 'para tupper']","['Pollo', 'Tomate', 'Lechuga', 'Pan de pita', 'Salsa de Mostaza', 'Queso para untar', 'Aceite de oliva']",
Receta de Sandwich de atún y tomate,/receta-908/sandwich-de-atun-y-tomate,4,Menos de 15 min.,Sencilla,"['minimalistas', 'para niños']","['Pan de molde', 'Queso cremoso', 'Atún en aceite en lata', 'Salsa de tomate triturado']",veraniegas
Receta de LOMO CON MANTECA DE CERDO ,/receta-738/lomo-con-manteca-de-cerdo,4,Entre 1 y 2 horas,Sencilla,['tradicionales'],"['Lomo de cerdo', 'Manteca', 'Canela en rama', 'Clavo', 'Pimienta', 'Ajo', 'Limón', 'Aceite', 'Agua', 'Sal']",veraniegas
Receta de Canelones rápidos con pan de molde,/receta-99/canelones-rapidos-con-pan-de-molde,4,Entre 15 y 30 min.,Sencilla,"['minimalistas', 'para fiestas', 'para niños']","['Pan de molde', 'Mantequilla', 'Queso rallado', 'Salsa de tomate frito', 'Jamón cocido', 'Queso']",veraniegas
Receta de sandwich al cambembert,/receta-43/sandwich-al-cambembert,4,Menos de 15 min.,Sencilla,"['para niños', 'mediterráneas']","['Pan', 'Queso Camembert', 'Jamón serrano', 'Tomate', 'Queso']",veraniegas
Receta de Tostas de boquerones con tomate,/receta-116/tostas-de-boquerones-con-tomate,3,Entre 30 y 60 min.,Sencilla,"['exóticas', 'minimalistas', 'tradicionales', 'para fiestas', 'norte de Europa', 'africanas', 'mediterráneas']","['Pan de chapata', 'Hoja variada de lechuga', 'Tomate', 'Aceituna', 'Sal', 'Aceite de oliva', 'Boquerón', 'Vinagre']",veraniegas
Receta de Sandwich de tomates secos y anchoas,/receta-1624/sandwich-de-tomates-secos-y-anchoas,3,Entre 15 y 30 min.,Sencilla,[],"['Pan de molde', 'Queso cremoso', 'Tomate seco', 'Anchoa']",invernales
Receta de cena fria,/receta-1887/cena-fria,0,Menos de 15 min.,Sencilla,[],"['Boquerón', 'Foie-gras']",light
"Receta de Trenzas de Jamón, Queso y Mayonesa Ybarra",/receta-1981/trenzas-de-jamon-queso-y-mayonesa-ybarra,0,Entre 15 y 30 min.,Sencilla,"['para fiestas', 'mediterráneas']","['Masa de hojaldre', 'Jamón cocido', 'Queso', 'Mayonesa', 'Huevo']",tradicionales
Receta de Hamburguesa al limón,/receta-2076/hamburguesa-al-limon,0,Menos de 15 min.,Sencilla,[],['Pimienta molida'],
Receta de Albóndigas de zanahoria,/receta-2109/albondigas-de-zanahoria,0,Entre 30 y 60 min.,Sencilla,[],"['Cebolla', 'Albahaca', 'Huevo', 'Sal', 'Pan rallado', 'Harina', 'Aceite', 'Zanahoria']",vegetarianas
Receta de Tortilla de patata con queso,/receta-2108/tortilla-de-patata-con-queso,0,Entre 30 y 60 min.,Sencilla,[],"['Huevo', 'Patata', 'Sal', 'Aceite', 'Queso rallado']",tradicionales
Receta de Albóndigas de champiñones,/receta-2112/albondigas-de-champinones,0,Entre 30 y 60 min.,Sencilla,[],"['Champiñón', 'Cebolla', 'Ajo', 'Huevo', 'Pan rallado', 'Harina', 'Perejil', 'Aceite']",tradicionales
Receta de Tortilla de patata y cebolla,/receta-2123/tortilla-de-patata-y-cebolla,0,Entre 30 y 60 min.,Sencilla,[],"['Patata', 'Aceite', 'Cebolla', 'Huevo', 'Sal', 'Pimiento rojo']",exóticas
Receta de  Brazo de gitano de queso,/receta-2124/brazo-de-gitano-de-queso,0,Entre 30 y 60 min.,Sencilla,[],"['Huevo', 'Leche', 'Pimienta', 'Sal', 'Queso', 'Pimiento']",veraniegas
Receta de burritos,/receta-1879/burritos,0,Entre 15 y 30 min.,Sencilla,[],"['Carne picada', 'Harina de maíz', 'Lechuga', 'Tomate', 'Queso rallado', 'Salsa de Mostaza']",veraniegas
Receta de BERENJENAS  CON MIEL,/receta-1838/berenjenas-con-miel,0,Menos de 15 min.,Sencilla,"['para navidad', 'para fiestas']","['Berenjena', 'Huevo', 'Leche', 'Harina', 'Aceite de oliva', 'Sal']",veraniegas
Receta de Fajitas de atún y beicon,/receta-1357/fajitas-de-atun-y-beicon,0,Menos de 15 min.,Sencilla,"['veraniegas', 'minimalistas', 'para fiestas', 'para niños', 'norte de Europa', 'mediterráneas', 'americanas', 'para tupper']","['Tortilla de maíz', 'Bacón', 'Atún en aceite en lata']",tradicionales
Receta de Bocadillo de cogote,/receta-1627/bocadillo-de-cogote,0,Entre 15 y 30 min.,Sencilla,"['veraniegas', 'invernales', 'tradicionales', 'para niños', 'mediterráneas']","['Pan de pueblo', 'Cebolla', 'Bonito', 'Pimiento']",exóticas
Receta de Sandwich de crema de alcachofas y anchoas,/receta-1682/sandwich-de-crema-de-alcachofas-y-anchoas,0,Entre 15 y 30 min.,Sencilla,"['para fiestas', 'para niños', 'mediterráneas', 'para celíacos']","['Alcachofa', 'Queso para untar', 'Sal', 'Aceite de oliva', 'Anchoa', 'Pan de molde']",tradicionales
